009	COLD	251	Historical reimplementation reference; not an execution contract.
046	SUPERSEDED	253	Superseded by 065 surface-triangle correlation.
056	COLD	249	81-task refactor never executed; its perf intent landed piecemeal via 136/153/207/236. Evergreen constraints only.
065	FOLDED	253	Correlation + fingerprint matching shipped; placement restore shipped outside the spec (inspect pm4 restore-placements). Residue: T034-T036, rotation.
069	SUPERSEDED	251	Tab-bar design never built; replaced by the Workbench navigator (231).
072	COMPLETE	251	Hotfix complete (T005 width scoping inaccurate, not reopened).
073	SUPERSEDED	251	Converters piece owned by 231; rest never planned.
104	SUPERSEDED	248	Absorbed by 235 (own supersession notice).
105	FOLDED	248	Residue: FR-008..FR-014 profile unification, FR-001..FR-007 animation addressing.
106	FOLDED	249	Direction constants shipped; residue FR-004/FR-012 calibration, FR-008..FR-010 provenance (verify vs 109/122).
107	COMPLETE	249	Quick lighting + far-plane + single-ray hover shipped.
108	FOLDED	254	Code shipped; residue T012/T013/T015 user-run training.
109	COMPLETE	254	v50 clean-room dataset built; T050/T051 doc-only residue.
110	FOLDED	251	US1/US5/US7 shipped; US2 to 248 (via 235), US3/US4 residue.
111	COMPLETE	254	Calibration shipped; T009/T019 operator runs owed.
112	SUPERSEDED	254	US3 training happened under 114-T017.
114	FOLDED	254	Geometry chain complete; residue Phase 6/7 texture-family + alpha-stack.
115	COMPLETE	254	Classifier + retrain shipped (its quickstart.md is stale).
117	SUPERSEDED	254	Premise closed by 123.
118	COMPLETE	254	Instance/occlusion masks shipped; real paired training comparisons owed.
123	FOLDED	254	Entire spec open (next-model design, no code).
124	FOLDED	254	Entire spec open (legacy python detangle + C# RunPod tooling).
125	SUPERSEDED	254	Superseded by 126/133/139; parked residue FR-021 super-res, FR-010/FR-012.
126	SUPERSEDED	254	Core ambition moved to 139; parked residue US5 seams, US6/US8 texture tier.
127	FOLDED	254	Residue US1/US3 + US2 UI wiring.
128	FOLDED	253	Entire spec open, gated on 130.
129	FOLDED	253	Entire spec open, gated on 130.
130	FOLDED	253	Decode phases open; partially advanced by 188/189 research.
132	FOLDED	254	US1 shipped; US2..US6 residue (merged with 140).
133	COMPLETE	254	terrain_shadow_256 delivered end-to-end.
134	FOLDED	254	Shares clean_signal modules with 139; residue US6 later-client adapters.
135	SUPERSEDED	250	Generalized by PhaseLayers (222/232).
136	FOLDED	249	Code landed; T008/T011 operator proofs owed.
137	SUPERSEDED	250	Minimap phase tiles via PhaseLayers; Armed teleport via 147 US1.
138	COLD	249	Broad 4.x evidence epic cold; residue: WmoRenderer.DrawBatch access violation.
139	FOLDED	254	Live clean-signal lane; residue cross-tile family regression, promotion.
140	FOLDED	254	Entire spec open (merged with 132).
141	FOLDED	254	Residue US4 research-lead ledger.
142	FOLDED	249	Graph + bounded admission shipped (graph selector default-off); residue US4/US5, T048, T054-T057, promotion gates.
143	FOLDED	252	US1 area names + Alpha world clock shipped; US2/US3/US5 to 252, US4 lighting to 249.
144	FOLDED	252	Code complete; 5 user-run capture proofs owed.
146	FOLDED	252	WorldAudioRuntime shipped; residue US1/US3/US4/US5, T017a (merged with 148).
